"title","average_vote","popularity","tagline"
"Red Sonja","5.0","12.752463","A woman and a warrior that became a legend."
"The Last Legion","5.0","12.282911","The end of an empire...the beginning of a legend."
"The Adventures of Pinocchio","5.0","6.718497","A new angle on the classic tale... And that's no lie!"
"Sheena","5.0","4.020194","*No Tag Line*"
"Aliens vs Predator: Requiem","4.9","39.381913","The Last Place On Earth We Want To Be Is In The Middle"
"Eragon","4.9","30.863434","As darkness falls, the last dragon will choose its rider."
"The Cat in the Hat","4.9","18.251129","Don't mess with the hat."
"Dr. Dolittle 2","4.9","13.543053","The doctor is in again."
"Zoom","4.9","10.304172","They're going to save the world... as long as they're home for dinner."
"Down to Earth","4.9","9.166658","*No Tag Line*"
"Elektra","4.8","28.613892","Looks can kill"
"My Super Ex-Girlfriend","4.8","20.252143","Hell hath no fury like a superwoman scorned."
"Just Visiting","4.8","10.844882","They're not just from another time, they're from France."
"Dungeons & Dragons: Wrath of the Dragon God","4.8","4.901936","*No Tag Line*"
"The Order","4.8","3.746806","Every soul has its price."
"Escape from Tomorrow","4.8","1.352222","Bad things happen everywhere."
"Ghost Rider: Spirit of Vengeance","4.7","48.622278","He Rides Again."
"The Last Airbender","4.7","33.769336","Four nations, one destiny"
"Nutty Professor II: The Klumps","4.7","17.783361","The Klumps are back!"
"Yoga Hosers","4.7","8.618793","Do your 'wurst..."
"Spice World","4.7","6.889437","You say you want a revolution?"
"Warriors of Virtue","4.7","0.912395","In a world beyond your imagination a battle for the universe has begun."
"The Love Letter","4.7","0.116873","A letter from the past would change their future forever."
"The Island of Dr. Moreau","4.6","13.210898","The gates of hell are unlocked."
"Happily N'Ever After","4.6","10.410933","Fairy Tale Endings Aren't What They Used To Be"
"Beastmaster 2: Through the Portal of Time","4.6","1.478505","*No Tag Line*"
"Exorcist II: The Heretic","4.5","11.543363","It's four years later... what does she remember?"
"Highlander: The Final Dimension","4.5","7.964451","Throughout time they have hunted each other fulfilling the prophecy, that there can be only one."
"Jonah Hex","4.4","22.581313","Revenge gets ugly."
"Highlander: Endgame","4.4","11.782725","It will take two immortals to defeat the ultimate evil. But in the end, there can be only one."
"Monkeybone","4.3","8.098369","If It Yells, If It Swings, It's Got To Be Monkeybone!"
"Batman & Robin","4.2","50.073575","Strength. Courage. Honor. And loyalty."
"Jason Goes to Hell: The Final Friday","4.2","10.341982","Evil has finally found a home."
"Thunderbirds","4.2","9.278750","*No Tag Line*"
"In the Name of the King: A Dungeon Siege Tale","4.1","15.406173","Rise and fight"
"An American Carol","4.1","2.605374","Laugh like you're country depends on it."
"Super Mario Bros.","4.0","14.587367","This Ain't No Game."
"Mortal Kombat: Annihilation","3.8","11.916389","The world was created in six days, so too shall it be destroyed and on the seventh day mankind will rest... in peace"
